tweet_id,retweet_count,favorite_count,text,expanded_urls,name,stage,date,extracted_url,rating_numerator_new,rating_denominator_new,jpg_url,dog_breed_highest_prediction,dog_breed
892420643555336193,7271.0,34724.0,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut.  ,https://twitter.com/dog_rates/status/892420643555336193/photo/1,Phineas,,2017-08-01,https://t.co/MgUWQ76dJU,13,10,,,
892177421306343426,5440.0,30102.0,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit.  ",https://twitter.com/dog_rates/status/892177421306343426/photo/1,Tilly,,2017-08-01,https://t.co/0Xxu71qeIV,13,10,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,0.323581,Chihuahua
891815181378084864,3585.0,22659.0,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike.  ,https://twitter.com/dog_rates/status/891815181378084864/photo/1,Archie,,2017-07-31,https://t.co/wUnZnhtVJB,12,10,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,0.716012,Chihuahua
891689557279858688,7464.0,37992.0,This is Darla. She commenced a snooze mid meal.  happens to the best of us ,https://twitter.com/dog_rates/status/891689557279858688/photo/1,Darla,,2017-07-30,https://t.co/tD36da7qLQ,13,10,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,0.17027799999999998,paper_towel
891327558926688256,8026.0,36268.0,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such.  #BarkWeek ","https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",Franklin,,2017-07-29,https://t.co/AtUZn91f7f,12,10,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,0.555712,basset
891087950875897856,2690.0,18295.0,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking.  (IG: tucker_marlo) #BarkWeek ,https://twitter.com/dog_rates/status/891087950875897856/photo/1,None,,2017-07-29,https://t.co/kQ04fDDRmh,13,10,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,0.425595,Chesapeake_Bay_retriever
890971913173991426,1735.0,10657.0,"Meet Jax. He enjoys ice cream so much he gets nervous around it.  help Jax enjoy more things by clicking below

 ","https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1",Jax,,2017-07-28,https://t.co/Zr4hWfAs1H,13,10,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,0.34170300000000003,Appenzeller
890729181411237888,16336.0,58475.0,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy.  ,"https://twitter.com/dog_rates/status/890729181411237888/photo/1,https://twitter.com/dog_rates/status/890729181411237888/photo/1",None,,2017-07-28,https://t.co/v0nONBcwxq,13,10,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,0.566142,Pomeranian
890609185150312448,3733.0,25206.0,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet.  #BarkWeek ,https://twitter.com/dog_rates/status/890609185150312448/photo/1,Zoey,,2017-07-27,https://t.co/9TwLuAGH0b,13,10,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,0.487574,Irish_terrier
890240255349198849,6304.0,28721.0,This is Cassie. She is a college pup. Studying international doggo communication and stick theory.  so elegant much sophisticate ,https://twitter.com/dog_rates/status/890240255349198849/photo/1,Cassie,doggo,2017-07-26,https://t.co/t1bfwz5S2A,14,10,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,0.511319,Pembroke
